left_context,right_context
"Matrimony, as the origin of change, was always disagreeable; and he was by no means yet reconciled to his own daughter's marrying, nor could ever speak of her but with compassion, though it had been entirely a match of affection, when he was now obliged to part with Miss Taylor too; and from his habits of gentle selfishness, and of being never able to suppose that other people could feel differently from himself, he was very much disposed to think Miss Taylor had done as sad a thing for herself as for them, and would have been a great deal happier if she had spent all the rest of her life at Hartfield. Emma smiled and chatted as cheerfully as she could, to keep him from such thoughts; but when tea came, it was impossible for him not to say exactly as he had said at dinner,"," ""I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?"""
"Emma smiled and chatted as cheerfully as she could, to keep him from such thoughts; but when tea came, it was impossible for him not to say exactly as he had said at dinner,  ""Poor Miss Taylor!--I wish she were here again. What a pity it is that Mr. Weston ever thought of her!"""," ""A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear."""
"""I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?"""," ""How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon."""
"""A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear."""," ""My dear, how am I to get so far? Randalls is such a distance."
"""How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon."""," ""No, papa, nobody thought of your walking. We must go in the carriage, to be sure."""
"Randalls is such a distance. I could not walk half so far."""," ""The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?"""
"""No, papa, nobody thought of your walking. We must go in the carriage, to be sure."""," ""They are to be put into Mr. Weston's stable, papa. You know we have settled all that already."
"""The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?"""," ""I am very glad I did think of her. It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her."
"You got Hannah that good place. Nobody thought of Hannah till you mentioned her--James is so obliged to you!"""," Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own. The backgammon-table was placed; but a visitor immediately afterwards walked in and made it unnecessary."
"Mr. Knightley had a cheerful manner, which always did him good; and his many inquiries after ""poor Isabella"" and her children were answered most satisfactorily. When this was over, Mr. Woodhouse gratefully observed,"," ""Not at all, sir. It is a beautiful moonlight night; and so mild that I must draw back from your great fire."""
"When this was over, Mr. Woodhouse gratefully observed, ""It is very kind of you, Mr. Knightley, to come out at this late hour to call upon us. I am afraid you must have had a shocking walk."""," ""But you must have found it very damp and dirty. I wish you may not catch cold."""
"""Not at all, sir. It is a beautiful moonlight night; and so mild that I must draw back from your great fire."""," ""Dirty, sir! Look at my shoes."
"""But you must have found it very damp and dirty. I wish you may not catch cold."""," ""Well! that is quite surprising, for we have had a vast deal of rain here."
"Look at my shoes. Not a speck on them."""," ""By the bye--I have not wished you joy. Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well."
"It rained dreadfully hard for half an hour while we were at breakfast. I wanted them to put off the wedding."""," ""Ah! poor Miss Taylor!"
"How did you all behave? Who cried most?"""," ""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say 'poor Miss Taylor.' I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two."""
