prompt_text,inferred_speaker
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Poor Miss Taylor!--I wish she were here again. What a pity it is that Mr. Weston ever thought of her!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I cannot agree with you, papa; you know I cannot. Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""A house of her own!--But where is the advantage of a house of her own? This is three times as large.--And you have never any odd humours, my dear.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

For example, if the answer is ""Elizabeth Bennet,"" then your response should simply be:

""Elizabeth Bennet"""
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""How often we shall be going to see them, and they coming to see us!--We shall be always meeting! _We_ must begin; we must go and pay wedding visit very soon.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dear, how am I to get so far? Randalls is such a distance. I could not walk half so far.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

For example, if the answer is ""Elizabeth Bennet,"" then you should respond with:

""Elizabeth Bennet"""
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""No, papa, nobody thought of your walking. We must go in the carriage, to be sure.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thanks!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""The carriage! But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thanks!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""They are to be put into Mr. Weston's stable, papa. You know we have settled all that already. We talked it all over with Mr. Weston last night. And as for James, you may be very sure he will always like going to Randalls, because of his daughter's being housemaid there. I only doubt whether he will ever take us anywhere else. That was your doing, papa. You got Hannah that good place. Nobody thought of Hannah till you mentioned her--James is so obliged to you!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I am very glad I did think of her. It was very lucky, for I would not have had poor James think himself slighted upon any account; and I am sure she will make a very good servant: she is a civil, pretty-spoken girl; I have a great opinion of her. Whenever I see her, she always curtseys and asks me how I do, in a very pretty manner; and when you have had her here to do needlework, I observe she always turns the lock of the door the right way and never bangs it. I am sure she will be an excellent servant; and it will be a great comfort to poor Miss Taylor to have somebody about her that she is used to see. Whenever James goes over to see his daughter, you know, she will be hearing of us. He will be able to tell her how we all are.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""It is very kind of you, Mr. Knightley, to come out at this late hour to call upon us. I am afraid you must have had a shocking walk.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

I will then give you the next line for you to read and so on."
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Not at all, sir. It is a beautiful moonlight night; and so mild that I must draw back from your great fire.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But you must have found it very damp and dirty. I wish you may not catch cold.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Dirty, sir! Look at my shoes. Not a speck on them.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thanks!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Well! that is quite surprising, for we have had a vast deal of rain here. It rained dreadfully hard for half an hour while we were at breakfast. I wanted them to put off the wedding.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

For example, if the correct answer is ""Elizabeth Bennet"", your response would be:

""Elizabeth Bennet"""
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""By the bye--I have not wished you joy. Being pretty well aware of what sort of joy you must both be feeling, I have been in no hurry with my congratulations; but I hope it all went off tolerably well. How did you all behave? Who cried most?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Ah! poor Miss Taylor! 'Tis a sad business.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Here is the list of characters in the story:

* Mr. Woodhouse
* Mrs. Weston
* Emma Woodhouse
* Miss Taylor
* Jane Fairfax
* Frank Churchill
* Mrs. Churchill

Can you help me with that?"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say '

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
' I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Here is the passage:

""I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two.""

Can you help me with that?"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Especially when _one_ of those two is such a fanciful, troublesome creature!"" said Emma playfully. ""That is what you have in your head, I know--and what you would certainly say if my father were not by.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I believe it is very true, my dear, indeed,"" said Mr. Woodhouse, with a sigh. ""I am afraid I am sometimes very fanciful and troublesome.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dearest papa! You do not think I could mean _you_, or suppose Mr. Knightley to mean _you_. What a horrible idea! Oh no! I meant only myself. Mr. Knightley loves to find fault with me, you know--in a joke--it is all a joke. We always say what we like to one another.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Emma knows I never flatter her,"" said Mr. Knightley, ""but I meant no reflection on any body. Miss Taylor has been used to have two persons to please; she will now have but one. The chances are that she must be a gainer.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Well,"" said Emma, willing to let it pass--""you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly. Every body was punctual, every body in their best looks: not a tear, and hardly a long face to be seen. Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Dear Emma bears every thing so well,"" said her father. ""But, Mr. Knightley, she is really very sorry to lose poor Miss Taylor, and I am sure she _will_ miss her more than she thinks for.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""It is impossible that Emma should not miss such a companion,"" said Mr. Knightley. ""We should not like her so well as we do, sir, if we could suppose it; but she knows how much the marriage is to Miss Taylor's advantage; she knows how very acceptable it must be, at Miss Taylor's time of life, to be settled in a home of her own, and how important to her to be secure of a comfortable provision, and therefore cannot allow herself to feel so much pain as pleasure. Every friend of Miss Taylor must be glad to have her so happily married.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.",
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""And you have forgotten one matter of joy to me,"" said Emma, ""and a very considerable one--that I made the match myself. I made the match, you know, four years ago; and to have it take place, and be proved in the right, when so many people said Mr. Weston would never marry again, may comfort me for any thing.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
"OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Ah! my dear, I wish you would not make matches and foretell things, for whatever you say always comes to pass. Pray do not make any more matches.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Thank you!"
