prompt_text,inferred_speaker
"CONTEXT:
'CHAPTER I. It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""  Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'CHAPTER I. It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""  Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'CHAPTER I. It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh!'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Do not you want to know who has taken it?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it.""  This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""_You_ want to tell me, and I have no objection to hearing it.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""  ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so?'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?""  ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""What is his name?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley.""  ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome!'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Bingley.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?""  ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Is he married or single?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!""  ""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them."" ""Is that his design in settling here?"" ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?""  ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them."" ""Is that his design in settling here?"" ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes."" ""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""How so? how can it affect them?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mr. Bennet"
